url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894886555/alugar/apartamento-3-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A714%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 92m², 3 quartos e 1 vaga",Condomínios em São Paulo,92,3.0,1,2.0,1.0,Até 3° andar,sim,não,sim,R$ 4.100,R$ 2.100,R$ 217,R$ 52,R$ 106,R$ 6.575
https://www.quintoandar.com.br/imovel/894889028/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A627%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 26m², 1 quarto e sem vaga",Condomínios em São Paulo,26,1.0,1,1.0,,12° a 15° andar,sim,sim,sim,R$ 2.800,R$ 350,R$ 90,R$ 36,R$ 72,R$ 3.348
https://www.quintoandar.com.br/imovel/894828103/alugar/apartamento-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A499%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 28m², 1 quarto e sem vaga",Condomínios em São Paulo,28,1.0,0,1.0,,8° a 11° andar,sim,sim,sim,R$ 4.050,Incluso,R$ 150,R$ 52,R$ 104,R$ 4.356
https://www.quintoandar.com.br/imovel/895030476/alugar/apartamento-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A555%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 62m², 1 quarto e sem vaga",Condomínios em São Paulo,62,1.0,0,1.0,,Até 3° andar,sim,sim,sim,R$ 6.780,R$ 800,R$ 119,R$ 86,R$ 175,R$ 7.960
https://www.quintoandar.com.br/imovel/893180184/alugar/apartamento-2-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A814%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 95m², 2 quartos e sem vaga",Rua Cardeal Arcoverde,95,2.0,0,2.0,,Até 3° andar,sim,não,sim,R$ 4.500,R$ 250,R$ 125,R$ 58,R$ 116,R$ 5.049
https://www.quintoandar.com.br/imovel/894949068/alugar/apartamento-1-quarto-pompeia-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A908%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 42m², 1 quarto e 1 vaga",Rua Professor Ciridião Buarque,42,1.0,0,1.0,1.0,4° a 7° andar,sim,sim,não,R$ 3.200,R$ 600,R$ 17,R$ 41,R$ 82,R$ 3.940
https://www.quintoandar.com.br/imovel/895105016/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A858%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 23m², 1 quarto e sem vaga",Condomínios em São Paulo,23,1.0,0,1.0,,16° a 19° andar,sim,sim,sim,R$ 2.550,R$ 350,R$ 125,R$ 33,R$ 66,R$ 3.124
https://www.quintoandar.com.br/imovel/895038837/alugar/kitnet-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A296%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 24m², 1 quarto e sem vaga",Condomínios em São Paulo,24,1.0,0,1.0,,4° a 7° andar,sim,sim,não,R$ 3.000,R$ 652,R$ 0,R$ 39,R$ 77,R$ 3.768
https://www.quintoandar.com.br/imovel/895101212/alugar/apartamento-2-quartos-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A42%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 66m², 2 quartos e 1 vaga",Condomínios em São Paulo,66,2.0,0,1.0,1.0,Até 3° andar,sim,não,não,R$ 3.100,R$ 1.329,R$ 392,R$ 40,R$ 80,R$ 4.941
https://www.quintoandar.com.br/imovel/894628960/alugar/casa-3-quartos-vila-hamburguesa-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22f600df6d-2d39-44f0-b056-5b274d958cc9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A891%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 200m², 3 quartos e sem vaga",Avenida Queiroz Filho,200,3.0,1,2.0,,,sim,não,não,R$ 7.500,Incluso,R$ 208,R$ 125,R$ 194,R$ 8.027
