url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/895062742/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A731%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 27m², 1 quarto e sem vaga",Condomínios em São Paulo,27,1.0,0,1.0,,8° a 11° andar,sim,sim,sim,R$ 3.300,R$ 550,R$ 80,R$ 42,R$ 85,R$ 4.057
https://www.quintoandar.com.br/imovel/894263484/alugar/apartamento-3-quartos-jaguare-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A324%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 93m², 3 quartos e sem vaga",Condomínios em São Paulo,93,3.0,1,2.0,,Até 3° andar,sim,não,não,R$ 2.700,R$ 892,R$ 0,R$ 35,R$ 69,R$ 3.696
https://www.quintoandar.com.br/imovel/894642564/alugar/apartamento-3-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A802%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 57m², 3 quartos e 1 vaga",Condomínios em São Paulo,57,3.0,0,1.0,1.0,,sim,não,não,R$ 3.600,R$ 450,R$ 80,R$ 46,R$ 93,R$ 4.269
https://www.quintoandar.com.br/imovel/894516948/alugar/apartamento-2-quartos-vila-romana-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A972%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 60m², 2 quartos e 1 vaga",Condomínios em São Paulo,60,2.0,0,2.0,1.0,4° a 7° andar,sim,não,não,R$ 2.500,R$ 1.328,R$ 116,R$ 32,R$ 64,R$ 4.040
https://www.quintoandar.com.br/imovel/894403412/alugar/casa-2-quartos-jardim-rizzo-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A320%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 85m², 2 quartos e 1 vaga",Rua Maria José Monteiro Romano,85,2.0,0,2.0,1.0,,não,não,não,R$ 3.300,Incluso,R$ 0,R$ 55,R$ 85,R$ 3.440
https://www.quintoandar.com.br/imovel/894952130/alugar/apartamento-2-quartos-jardim-peri-peri-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A852%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 34m², 2 quartos e sem vaga",Rua Professor Máximo Ribeiro Nunes,34,2.0,0,1.0,,8° a 11° andar,sim,não,sim,R$ 1.940,R$ 400,R$ 40,R$ 25,R$ 50,R$ 2.455
https://www.quintoandar.com.br/imovel/894853272/alugar/casa-2-quartos-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A842%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 85m², 2 quartos e sem vaga",Rua Beatriz,85,2.0,0,1.0,,,sim,não,sim,R$ 4.390,Incluso,R$ 400,R$ 73,R$ 113,R$ 4.976
https://www.quintoandar.com.br/imovel/894942220/alugar/casa-2-quartos-alto-de-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A799%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 150m², 2 quartos e sem vaga",Rua Caminha de Amorim,150,2.0,0,1.0,,,sim,não,não,R$ 3.600,Incluso,R$ 116,R$ 60,R$ 93,R$ 3.869
https://www.quintoandar.com.br/imovel/894688234/alugar/casa-1-quarto-jaguare-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A965%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 50m², 1 quarto e sem vaga",Rua Tiagem,50,1.0,0,1.0,,,sim,não,não,R$ 1.064,Incluso,R$ 0,R$ 18,R$ 27,R$ 1.109
https://www.quintoandar.com.br/imovel/894756539/alugar/apartamento-2-quartos-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A8%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 44m², 2 quartos e 1 vaga",Rua Raul Saddi,44,2.0,0,1.0,1.0,8° a 11° andar,sim,não,sim,R$ 5.000,R$ 600,R$ 0,R$ 64,R$ 129,R$ 5.793
