pet,mobiliado,metro_proximo,area,quartos,suite,banheiros,aluguel,condominio,iptu,seguro_incendio,taxa_servico,total,cost_per_m2,cluster
1,0,0,45.0,1.0,0,1.0,1450.0,507.0,70.0,19.0,37.0,2083.0,32.22,4
1,0,0,67.0,2.0,0,2.0,1470.0,739.0,0.0,19.0,38.0,2266.0,21.94,4
1,0,0,67.0,2.0,0,2.0,1470.0,739.0,0.0,19.0,38.0,2266.0,21.94,4
1,0,0,45.0,1.0,0,1.0,1490.0,506.0,7.0,19.0,38.0,2060.0,33.11,4
0,0,0,20.0,1.0,0,1.0,1500.0,0.0,0.0,20.0,38.0,1558.0,75.0,4
0,0,0,40.0,1.0,0,1.0,1500.0,0.0,0.0,20.0,38.0,1558.0,37.5,4
0,0,0,20.0,1.0,0,1.0,1500.0,0.0,0.0,20.0,38.0,1558.0,75.0,4
0,0,0,30.0,1.0,0,1.0,1500.0,0.0,50.0,20.0,38.0,1608.0,50.0,4
1,0,0,40.0,2.0,1,1.0,1500.0,0.0,65.0,25.0,38.0,1628.0,37.5,4
0,0,0,70.0,2.0,0,1.0,1500.0,0.0,80.0,25.0,38.0,1643.0,21.43,4
0,0,0,24.0,1.0,1,1.0,1500.0,60.0,27.0,25.0,38.0,1650.0,62.5,4
0,0,0,24.0,1.0,1,1.0,1500.0,60.0,27.0,25.0,38.0,1650.0,62.5,4
0,0,0,30.0,1.0,1,1.0,1500.0,350.0,40.0,20.0,38.0,1948.0,50.0,4
1,0,1,38.0,2.0,0,1.0,1500.0,400.0,42.0,20.0,38.0,2000.0,39.47,4
1,0,0,34.0,1.0,0,1.0,1500.0,456.0,0.0,20.0,38.0,2014.0,44.12,4
1,0,1,24.0,1.0,0,1.0,1500.0,461.0,55.0,20.0,38.0,2074.0,62.5,4
1,0,1,24.0,1.0,0,1.0,1500.0,461.0,55.0,20.0,38.0,2074.0,62.5,4
1,0,1,30.0,1.0,0,1.0,1500.0,461.0,56.0,20.0,38.0,2075.0,50.0,4
1,0,1,30.0,1.0,0,1.0,1500.0,461.0,56.0,20.0,38.0,2075.0,50.0,4
1,0,0,30.0,1.0,0,1.0,1510.0,0.0,120.0,20.0,39.0,1689.0,50.33,4
1,0,1,40.0,1.0,1,1.0,1510.0,1.0,135.0,20.0,39.0,1705.0,37.75,4
1,0,0,33.0,1.0,0,1.0,1510.0,0.0,140.0,20.0,39.0,1709.0,45.76,4
0,1,1,25.0,1.0,0,1.0,1530.0,100.0,84.0,20.0,39.0,1773.0,61.2,4
1,0,1,35.0,2.0,0,1.0,1530.0,388.0,0.0,20.0,39.0,1977.0,43.71,4
1,1,0,50.0,2.0,0,1.0,1549.0,10200.0,0.0,20.0,40.0,11809.0,30.98,2
1,1,0,50.0,2.0,0,1.0,1549.0,10200.0,0.0,20.0,40.0,11809.0,30.98,2
0,1,0,18.0,1.0,0,1.0,1550.0,0.0,0.0,20.0,40.0,1610.0,86.11,4
0,1,0,18.0,1.0,0,1.0,1550.0,0.0,0.0,20.0,40.0,1610.0,86.11,4
1,0,0,35.0,1.0,0,1.0,1570.0,40.0,120.0,26.0,40.0,1796.0,44.86,4
0,1,0,19.0,1.0,0,1.0,1572.0,0.0,0.0,20.0,40.0,1632.0,82.74,4
0,0,0,50.0,1.0,0,1.0,1580.0,0.0,180.0,27.0,40.0,1827.0,31.6,4
0,0,0,50.0,1.0,0,1.0,1580.0,0.0,180.0,27.0,40.0,1827.0,31.6,4
0,0,0,50.0,1.0,0,1.0,1580.0,0.0,180.0,27.0,40.0,1827.0,31.6,4
0,0,0,50.0,1.0,0,1.0,1580.0,0.0,180.0,27.0,40.0,1827.0,31.6,4
1,0,0,60.0,2.0,0,2.0,1580.0,1084.0,0.0,21.0,40.0,2725.0,26.33,4
1,0,0,60.0,2.0,0,2.0,1580.0,1084.0,0.0,21.0,40.0,2725.0,26.33,4
0,1,1,35.0,1.0,0,1.0,1590.0,0.0,4.0,27.0,41.0,1662.0,45.43,4
0,1,1,35.0,1.0,0,1.0,1590.0,0.0,4.0,27.0,41.0,1662.0,45.43,4
0,1,0,20.0,1.0,0,1.0,1600.0,0.0,0.0,21.0,41.0,1662.0,80.0,4
0,0,0,18.0,1.0,1,1.0,1600.0,0.0,0.0,21.0,41.0,1662.0,88.89,4
0,0,0,20.0,1.0,1,1.0,1600.0,0.0,0.0,21.0,41.0,1662.0,80.0,4
0,0,0,18.0,1.0,1,1.0,1600.0,0.0,0.0,21.0,41.0,1662.0,88.89,4
0,1,0,20.0,1.0,0,1.0,1600.0,0.0,0.0,21.0,41.0,1662.0,80.0,4
0,0,0,20.0,1.0,1,1.0,1600.0,0.0,0.0,21.0,41.0,1662.0,80.0,4
0,1,0,22.0,1.0,1,1.0,1600.0,0.0,68.0,21.0,41.0,1730.0,72.73,4
0,1,0,22.0,1.0,0,1.0,1600.0,0.0,103.0,21.0,41.0,1765.0,72.73,4
1,0,1,34.0,2.0,0,1.0,1600.0,400.0,0.0,21.0,41.0,2062.0,47.06,4
0,1,1,35.0,1.0,0,1.0,1600.0,506.0,48.0,21.0,41.0,2216.0,45.71,4
1,0,1,58.0,3.0,0,2.0,1600.0,750.0,0.0,21.0,41.0,2412.0,27.59,4
1,0,1,58.0,3.0,0,2.0,1600.0,750.0,0.0,21.0,41.0,2412.0,27.59,4
1,0,1,58.0,3.0,0,2.0,1600.0,750.0,0.0,21.0,41.0,2412.0,27.59,4
1,0,1,35.0,2.0,0,1.0,1603.0,420.0,0.0,21.0,41.0,2085.0,45.8,4
0,0,0,24.0,1.0,1,1.0,1606.0,514.0,0.0,21.0,41.0,2182.0,66.92,4
0,0,0,24.0,1.0,1,1.0,1606.0,514.0,0.0,21.0,41.0,2182.0,66.92,4
0,0,1,50.0,1.0,0,1.0,1607.0,0.0,125.0,27.0,41.0,1800.0,32.14,4
0,0,1,50.0,1.0,0,1.0,1607.0,0.0,125.0,27.0,41.0,1800.0,32.14,4
0,0,1,50.0,1.0,0,1.0,1607.0,0.0,125.0,27.0,41.0,1800.0,32.14,4
1,0,0,28.0,1.0,1,1.0,1620.0,370.0,28.0,21.0,41.0,2080.0,57.86,4
1,0,0,28.0,1.0,1,1.0,1620.0,370.0,28.0,21.0,41.0,2080.0,57.86,4
0,0,1,35.0,1.0,1,1.0,1645.0,0.0,0.0,28.0,42.0,1715.0,47.0,4
1,0,1,34.0,2.0,0,1.0,1645.0,450.0,0.0,21.0,42.0,2158.0,48.38,4
0,1,0,20.0,1.0,1,1.0,1650.0,0.0,25.0,21.0,42.0,1738.0,82.5,4
1,0,0,35.0,2.0,0,1.0,1650.0,1.0,42.0,21.0,42.0,1756.0,47.14,4
1,0,0,42.0,2.0,0,1.0,1650.0,0.0,0.0,28.0,42.0,1770.0,39.29,4
1,0,0,30.0,1.0,1,1.0,1653.0,0.0,0.0,21.0,42.0,1716.0,55.1,4
1,0,0,24.0,1.0,1,1.0,1660.0,437.0,0.0,22.0,42.0,2161.0,69.17,4
1,0,0,24.0,1.0,1,1.0,1660.0,437.0,0.0,22.0,42.0,2161.0,69.17,4
1,0,0,24.0,1.0,0,1.0,1680.0,420.0,1.0,22.0,43.0,2166.0,70.0,4
1,0,0,24.0,1.0,0,1.0,1680.0,420.0,1.0,22.0,43.0,2166.0,70.0,4
0,0,1,35.0,2.0,0,1.0,1690.0,450.0,0.0,22.0,43.0,2205.0,48.29,4
0,0,1,35.0,2.0,0,1.0,1690.0,450.0,0.0,22.0,43.0,2205.0,48.29,4
1,0,0,24.0,1.0,1,1.0,1691.0,300.0,34.0,22.0,43.0,2090.0,70.46,4
0,0,0,20.0,1.0,0,1.0,1700.0,0.0,0.0,22.0,44.0,1766.0,85.0,4
0,0,0,40.0,1.0,0,1.0,1700.0,0.0,0.0,22.0,44.0,1766.0,42.5,4
0,1,0,23.0,1.0,1,1.0,1700.0,0.0,0.0,22.0,44.0,1766.0,73.91,4
